title,price,area,district
畅清园 大客厅带阳台，双卧室两居 高楼层 采光好,8000,98.61,朝阳
有钥匙 头次出Z 高层视野 通透敞亮 配套齐全 保养好 长租,12500,119,海淀
大望路 SKP 蓝堡国际公寓 三居室 保养好 家具全齐,22000,119.78,朝阳
边户双明卫，短租时间灵活，随时起租，方便看有钥匙,16000,143.45,朝阳
东花市北里，部长楼，南北三居，可公司租，随时起租，随时看,13000,169.73,东城
西翠路与太平路交叉口 117平两居室 装修保养不错,9000,110,海淀
柏林爱乐正规两居室 业主惜租  地铁6号线,8800,109,朝阳
望京澳洲康都西1室,7000,37.68,朝阳
武夷花园京贸国际城西区南西北3室,6800,116.4,通州
太阳公元，高层两居，家具齐全，看、房、随、时,16000,89.28,朝阳
燕景佳园 户型好 南北通透,7000,126.69,大兴
橡树湾 开发商装修两居室 高楼层 带电梯 直观西山 临上地,10800,86,海淀
澳林春天，有钥匙，大阳台一居室 集中供暖，带电梯,7500,70.9,朝阳
东四环 东恒时代2期 南北通透两居 房子保持好 随时看,11000,96.75,朝阳
私家露台50平  园林社区 看 房随时 绿化率50%,11500,122.36,朝阳
五棵松紫金长安南北3室,23000,167,海淀
东三环 瑞安君汇 保养好 采光好 有钥匙 方便看,49000,224.35,朝阳
双井富力城B区，顶层大复式，有南向大露台，可做公司,35000,256.23,朝阳
朝青华纺易城南2室,9300,100,朝阳
亚运村 新荣家园400平公司用房 装修好 带露台,45000,400,朝阳
林肯公园，住宅2居室，高层采光无遮挡，配置齐全，报价8800,8500,92.7,大兴
【租户已经搬走】刚做的保洁  家具齐全  中间层 有钥匙,23000,153.5,朝阳
【温馨1居】  步行上班  告别堵车烦恼   原房照片,20000,167.26,朝阳
望京，西园三区，东南朝向大三居，格局方正，没有拐角浪费面积,15500,175.19,朝阳
霍营站8+13线旁，家具齐全，可合租，高层观景,7000,89,昌平
五道口，华清嘉园南北两居，有钥匙，随时起租，装修不错，东西齐,13000,96,海淀
清河 芳清园双卧客厅朝南三居室 有钥匙 家具半齐全可搬空,9800,115.29,海淀
亮马水晶  西南向正规两居  双卧夹客厅两端  精美装修家居,8000,81.91,朝阳
星河湾 南北通透四居室 家具齐全 客厅挑高4.5米,47000,291.19,朝阳
华纺易城二期南北三居，家里保养好，中间楼层，家私齐全,15000,136.21,朝阳
上京新航线 家具齐全 干净卫生 采光充足 带电梯 近家乐福。,12500,110.1,朝阳
主做楼盘 澳洲康都 大3居 家具齐全 干净卫生 采光充足,13000,126,朝阳
星源国际 东向大两居 家具齐全 干净卫生 采光充足 视野好,12000,110,朝阳
红庙华贸公寓南北2室,17000,133.63,朝阳
嘉里星源汇1居，保养好，家具齐全，随时起租,16500,77.5,朝阳
凤凰城3期，10号线地铁三元桥站，凤凰汇，免中介,18500,128.56,朝阳
北京院子南北三居室 安静不临街 带电梯 采光视野好,35000,167.92,朝阳
金星园南北通透3居，家具齐全，保养好，免中介，随时起租,16000,163.73,朝阳
望京合生麒麟社东北1室,9300,69.98,朝阳
万科物业 南北3居室 保持干净 高楼层 采光好 带车位 青塔,13500,172.8,丰台
北苑 福林苑 大两居  居家装修 稳定长租,12000,141,朝阳
三里屯 瑞安君汇 东西三居室 空房租 随时可起租,40000,209.63,朝阳
大望路风度柏林东2室,13500,95.84,朝阳
天鹅湾南区 顶层复式 不临街 客厅挑空 视野采光好,23000,220.34,朝阳
临河里华远铭悦南北4室,10000,161.4,通州
商品社区、园区环境好+格局合理＋采光充足＋配套齐全＋方便看,11500,113.62,海淀
户型方正、采光好、方便看、装修不错！,12600,71.43,朝阳
劲松华腾园东2室,8400,89.54,朝阳
已留钥匙 看 房方便 居家选择 百子湾  国贸后花园,5800,50.56,朝阳
旧宫宣颐家园南北3室,7800,134.6,大兴
乐成国际 全南两居 自住装修 双卧朝南 金地物业,16666,109.3,朝阳
成寿寺中海城圣朝菲南北3室,12000,140,丰台
方庄方庄六号南3室,13000,147.64,丰台
方庄方庄六号南北3室,12500,164.76,丰台
富力城D区西北两居室，中楼层，配的新家具，,14000,92.31,朝阳
海润国际高楼层观景大三居室，家私齐全，装修保养很好。,30000,175,朝阳
莱蒙湖 新装修 新家具 保持好配套齐全,30000,317,顺义
梨园园景东区南西3室,6500,100.34,通州
大望路珠江帝景E区南2室,12500,89.71,朝阳
广渠门光明西里东西2室,5500,47.24,东城
马连洼天秀花园安和园南北2室,7200,70.23,海淀
幸福家园+经 典三居+南北通透+装修宜居+户型方正,15000,118.85,东城
2006年人车分流社区 西南全落地飘窗 8平通体阳台,8500,72.59,东城
酒仙桥海润国际公寓东北1室,13000,77.04,朝阳
广安门 远见名苑 西向大开间 家具电器齐全 随时可看,5800,58,西城
宋家庄世纪星家园东北3室,8500,111.52,丰台
红庙华业玫瑰东方南北3室,17000,166.62,朝阳
富贵园一区，头次租，纯实木家具，家具齐全，采光无遮挡,16000,147.65,东城
东恒时代二期  精美三居 保持很干净 高楼层 有钥匙,13500,137,朝阳
酒仙桥阳光上东南西北4室,38000,246.11,朝阳
金地格林小镇 三居室,12000,138,大兴
太阳宫新纪家园南北2室,12000,84.77,朝阳
宣武陶然亭 菜市口双地铁 中信锦园 高层东两居 齐全长租车位,12000,88.13,西城
北四环欧陆凯旋城147.17平米三居室一个月1.4万随时看,14000,147.17,朝阳
九棵树龙湖蔚澜香醍南北4室,20000,204.09,通州
罗马东区南北三居室 中高层 二次装修 可以搬空,15000,147.06,朝阳
星河湾南北三居，带独立保姆间，临地铁6号线朝阳大悦城,38000,242,朝阳
商品社区、园区环境好+格局合理＋采光充足＋配套齐全＋方便看,23000,182.75,海淀
西钓鱼台嘉园2居15000元电梯房,15000,122.7,海淀
西钓鱼台嘉园3居19000元电梯房,19000,154,海淀
人济山庄 东北四居室 装修好 观景好 位置安静 出行便利,30000,193.87,海淀
带双车位！电梯入家+私人府院+家私齐全可搬+居家其他也行,120000,397.86,海淀
商品社区、园区环境好+格局合理＋采光充足＋配套齐全＋方便看,50000,240.78,海淀
长期在外地，房屋闲置，稳定靠谱租，业主随时签,10500,59.63,朝阳
昆玉河畔+鲁艺上河村+观景楼层+金源,50000,325,海淀
上元君庭，南北通透大三居，居家装修（高层）直观奥森,18000,210.66,朝阳
正规一居室 可短租 带燃气 保养很好 随时能看,5999,59,朝阳
听涛雅苑 正规二居室 南北通透,6000,102,大兴
南北通透三居室 家具全齐 保养好 景观好 中间层 无遮挡,48000,275,朝阳
世安家园 全南两居室 无遮挡 不临街 采光好 干净整洁,8300,82.11,朝阳
1层带50平米花园 配套齐全 安静不临街 封闭社区,11500,82.68,朝阳
南北通透两居室 中楼层 无遮挡 房子保养好  业主直租,11500,105.29,朝阳
玉桥合生滨江帝景1期南北3室,8500,155,通州
【好评房源】  温馨小屋  靠谱房源    干净 整洁 卫生,23000,121,朝阳
【精选视频房源】  高层   家具可沟通  押一付三即可,48000,354.79,朝阳
武夷花园BOBO自由城南北2室,6000,108.22,通州
亦庄金地格林小镇南北3室,9000,157.72,大兴
商品社区、园区环境好+格局合理＋采光充足＋配套齐全＋方便看,23000,156,海淀
大望路乐成豪丽西1室,13000,68.97,朝阳
户型方正一居室+养生楼层+金源,6300,47.99,海淀
百子湾富力十号南北3室,60000,229.88,朝阳
冠城大通澜石3居30000元,30000,176,朝阳
红玺台2居23000元,23000,85,朝阳
风度柏林 正规3居室 户型方正 采光充足 视野开阔 随时租,13000,139,朝阳
望京南北二居 配套完善 婚房装修标准 集中供暖 封闭式管理,12000,106.52,朝阳
望京，中广宜景湾，格局方正的四居，全部家私齐全，采光视野好,21000,214,朝阳
金星园 南向两居室 居住舒适，采光充足，中间楼层，交通便利,14000,113,朝阳
朝青天鹅湾南区南西2室,16000,131,朝阳
旗胜家园正规二居室+居家装修家居电器齐全+有电梯随时入住,6300,89,昌平
东大桥金地国际花园南北4室,55000,287,朝阳
万科蓝山方正南北3居  眼 镜户型  家具新 老 业主钥匙房,22000,165,朝阳
棕榈泉复试3层+阳光房+露台+5居室+客厅挑高+观全景！,150000,316,朝阳
西南上下2层3居室，新装修没住过，明厨明卫，家具齐全，钥匙,30000,123.38,朝阳
通透好+户型正+采光好+位置安静+出行便捷+带车位,7000,102.91,丰台
万国城东北两居室 安静不临街 带电梯 采光视野好,25000,143.58,东城
润枫水尚南北两居，装修保养好，临地铁大悦城。,11000,121.44,朝阳
融域嘉园，南北三居室，高楼层，带电梯 空房配置,13800,157.02,朝阳
福景苑 朝阳公园西路  观景好，家具齐全，安静不临街,36000,225,朝阳
大望路旁 封闭社区 急租 人文环境 绿化率高,13500,145.4,朝阳
宝星华庭 10年社区 空房租 有钥匙 中高楼层,19000,140.7,朝阳
望京西园一区正规两居室 新装修 新家具 保持好配套齐全,8800,99.6,朝阳
裘马都5室，490㎡60000，电梯房,60000,490,朝阳
全南双卫两居+二次装修+高层采光充足+有钥匙+俯瞰小区花园,12000,105.46,朝阳
农展馆旁边 富丽华园 两居室高层西南 视野采光好 房况好,18000,156,朝阳
北四环大屯路东三百米主场浩运园62平米正规一居室方便看,8000,62,朝阳
北四环荣尊堡147平米东向两居室一个月1.5万方便看,15000,147,朝阳
碧湖居2居22000元,22000,240,朝阳
中海紫金苑 南北通透3居 客厅主卧朝南 正观紫竹院公园湖景,36000,227,海淀
万国城三期 恒温恒湿两居 两个卫生间两个储物间,24000,143.58,东城
珠江罗马嘉园东区南北四居，装修保养挺好，临地铁大悦城,14000,142.63,朝阳
国风上观南北三居室 安静不临街 带电梯 采光视野好,18000,169,朝阳
嘉铭桐城 西南大三居 空房适合居家 有钥匙,15000,174.57,朝阳
南向大复式3居室 可做工作室居家 不能注,28000,251,朝阳
林肯公园，配置环保家具2居室，无遮挡，报价9000元可聊,9000,94.83,大兴
为你而选 林肯公园55.26㎡正规一居室 随时看 随时起租,5500,55.26,大兴
东北观湖大宅  恒温恒湿恒养  随时起租  可做工作室,40000,267.21,东城
郁金香，花园社区，南北通透3居室，配置齐全，3层，可聊价格,9000,127.05,大兴
上海沙龙 二居室 户型好 南北通透,6500,87,大兴
海淀观澳园南向开间，临森林公园，门口公交站，短租，阳光充足,5000,56.18,海淀
清缘东里南向开间，位置安静对花园，格局方正，随时起租，落地窗,4800,40.11,海淀
枫丹丽舍南北双卫三居，中间层，东西齐全，阳光充足，位置安静,10000,128.05,海淀
东润枫景  西南向一居  精美深色木地板  带家居,10000,62,朝阳
亚运村小营安慧东里北东3室 楼层好  家具全 不临街,12000,112.46,朝阳
光熙家园2居13000元,13000,123.67,朝阳
火星园2居16000元,16000,100,朝阳
光熙家园2居13500元,13500,109,朝阳
双花园两居室 低楼层 新壁纸 约看方便,9000,94.85,朝阳
宝星国际西向一层大两居 安静不临街 大面宽,18000,99.76,朝阳
百子湾金都杭城2期南北3室,14000,123.62,朝阳
通州北苑京贸国际公寓南西3室,8500,142.63,通州
CBD阳光100国际公寓北1室,10500,48,朝阳
百子湾沿海赛洛城东南西4室,30000,361,朝阳
太阳宫新纪家园西2室,9800,89.26,朝阳
新，视野好，随时看， 可聊，阁楼设计，离城铁近,13000,233.68,通州
三环新城 正规2居 中楼层 采光好 家具齐全 近10号线,6500,102.11,丰台
北苑上元君庭南北4室,25000,196.22,朝阳
龙湖唐宁 三面采光 视野开阔 无遮挡 主卧带独卫和衣帽间,35000,186.92,海淀
08年社区 装修简约干净 可商用房 正规一居 空房 可随时用,9500,62.55,朝阳
太阳宫半岛国际公寓南西1室,7000,39,朝阳
带露台，带独立的衣帽间，南向一居室，刷卡入户，楼下直通D,17000,102,海淀
东花市东花市北里西区东西3室,20000,211,东城
九棵树靓景明居南1室,4000,51.8,通州
富力城B区 全南三居室 两卧室朝南,17000,120.71,朝阳
四惠通惠家园惠民园南北4室,18000,146,朝阳
商品社区、园区环境好+格局合理＋采光充足＋配套齐全＋方便看,75000,312,海淀
商品社区、园区环境好+格局合理＋采光充足＋配套齐全＋方便看,24000,183,海淀
双井苹果社区南3室,30000,118.32,朝阳
天朗园，大一居，带（50平）大露台，公司或工作室可用,9800,80,朝阳
红庙东区国际西北3室,12800,154.22,朝阳
金隅国际 可以用于工作室的三居室 两套 高层,26000,197,朝阳
望京 金隅国际 北向开间 2006年楼盘 装修干净 可谈价,6300,52.24,朝阳
金隅国际  C座 可以用于工作室的两套大三居室 高层,24000,184,朝阳
望京 金隅国际 板楼1居 视野开阔 装修不错 可谈价,6500,52.42,朝阳
房子保养很好 配套齐全 业主直租 南向 希望租户爱惜房子,12000,111.85,朝阳
朝青珠江罗马嘉园南2室,9500,89.21,朝阳
亚运村 亚运新新家园润雪园别墅 家具齐全 落地窗 稳定长租,160000,549.06,朝阳
嘉里星源汇1居16500元,16500,77.9,朝阳
陶然亭中海紫御公馆东北2室,8800,60.72,东城
正对小区大花园 位置好 自家有花园 地上三层 地下一层,50000,367.73,朝阳
太阳公元南区，客厅双卧南3居，保养好,30000,176,朝阳
火星园：全明格局2居，94平米，家具齐全，14000,14000,94,朝阳
逸成东苑正规一居室+居家装修家居电器齐全+可以空房子随时住,6300,54.68,海淀
旗胜家园正规二居室+家居电器齐全+空房子随时住不临街有电梯,6300,88.68,昌平
奥林匹克公园倚林佳园南北5室,20000,209,朝阳
朝阳公园 泛海国际碧海园3室 家具齐全 地暖房 热水,30000,198.41,朝阳
公园大道422平层四居+户型好+观景效果好+业主直租,80000,419.37,朝阳
广渠门冠城名敦道A区西1室,7250,63.22,东城
东坝首开龙湖天璞南北东6室,26000,148.49,朝阳
梨园新通国际花园南西2室,5800,94.32,通州
香海园 四周观水系喷泉+空房状态＋可长租+南北东三面采光,33000,248.06,朝阳
垂虹园 正规2室 位置好 高楼层 视野好 有钥匙,14000,122,海淀
大望路金茂府分期3北1室,14800,76.83,朝阳
中信沁园南北向三居室，居家齐全装修保养好，10.15号起租,18000,108,西城
东恒时代 南向两居室 房间保持好 配套齐全,9800,90,朝阳
次顶层 带电梯两居室 随时起租随时可看 装修很不错 齐全租,8500,143.03,海淀
出门是宣武门与和平门地铁站宣东花园高性价比两居全齐配套,8800,43.9,西城
四惠 金地名京 西南北三居室 带衣帽间双卫生间,17000,137,朝阳
亦庄 海梓府 2室2厅1卫 装修配置好 报价7200,7200,83,大兴
上林世家，南北布局 双卫三居室 高楼层 无遮挡，集中供暖,20000,156.31,朝阳
西四环四季青别墅，整租，车位花园，有钥匙，海淀,49000,234,海淀
保利金泉观景两居室 保持好 新家具 有钥匙,11500,98,朝阳
望京，保利公园，南北朝向，统一装潢和地暖，干净整洁,21000,134,朝阳
望京，大西洋新城，南北朝向三居，双卧和客厅朝南，一梯两户,24000,151,朝阳
四惠东恒时代一期西2室,9500,101,朝阳
新硅谷平层四居室 一梯一户 观景楼层 保养好 条件可商议,29000,236.29,海淀
垡头北京华侨城南北3室,15000,171,朝阳
安宁庄上林溪南北2室,9000,109.23,海淀
金地名京 东南朝向两居复式 客厅挑空5米 目前空置 随时起租,13000,78.56,朝阳
豆各庄富力又一城A区南北3室,9000,163,朝阳
北部新区保利西山林语南北2室,6500,90,海淀
望京方便地段，业主托我第①次租，80万实木装修，3+1户型,21000,159,朝阳
室内配置齐全，看小区花园，临合生汇，看时方便,32000,151,朝阳
五矿万科如园，中式装修，中楼层，室内干净整洁，家具都全,26000,223,海淀
观景园南北两居室，东西齐全，明厨明卫，光线不错，装修不错,6900,60.14,海淀
清华旁，南北板楼三居，主卧带衣帽间，飘窗，大阳台,10000,117,海淀
逸翠园下叠四居室，家私齐全，保养好，用心装饰。,45000,271.64,朝阳
保利 14年社区 地暖,23000,145,朝阳
一直自住，保养好，正规4居室，欧式简约配置！,25000,195.67,朝阳
观湖国际 东南户型 高楼层 视野好 装修好 看花园 物业好,25000,160,朝阳
观湖国际一层带花园复式大四居 二次装修 保养好 可看,35000,186,朝阳
三卧朝南 餐客分离 南北通透 主卧南北通透,50000,251.27,朝阳
大望路风度柏林南3室,14000,135,朝阳
户型方正+采光好+位置安静+物业管理好+带车位,4400,37.1,丰台
金泉时代210平米 东南向 出行便利,35000,209.86,朝阳
朝青板块  国美家园  正规两居   带家居,8300,87.41,朝阳
大望路万科蓝山南北4室,35000,241,朝阳
广安门荣丰2008北1室,5200,28.38,西城
三里河 西二环 钓鱼台7号院 315平高楼层 全景玉渊潭公园,100000,315,海淀
K2清水湾   西南两居室 托斯卡纳风格  交通便利,5800,89.09,通州
保利金泉147平米全南向三居室 保持好 高层,18000,147,朝阳
优推！！保利西山林语 装修好 家具齐全 随时起租 环保园,6000,96.97,海淀
中信新城 全齐 户型好,8000,130,大兴
（新）随时起租 家具齐全 可合租 可长租 临永丰产业园,7000,94,海淀
户型正+采光好+位置安静+环境好,6500,80.13,丰台
月亮河城堡 南北三居室  耿庄桥南 交通便利,8500,134.6,通州
三区+不临街+非首租+客厅落地窗+长租+电梯入户,8900,146,海淀
上奥世纪正规南北通透四居室   四居四卫,10000,129,昌平
你过来啊  航天城 百旺杏林湾 齐全 南北通透 采光充足,5500,78,海淀
东四环 四惠地铁1号线八通线 金地名京复式两居 房屋保持好,11000,58,朝阳
方舟苑2期带露台的复式四居室，三个卫生间，两个明卫，装修好,28000,183,朝阳
三元桥+燕莎商圈+官舍+远洋新干线+三居+高层,18500,146.28,朝阳
芙蓉东路 京贸国际城 东区南向两居室 耿庄桥南,4200,75.3,通州
润枫德尚苑 一层 东南三居室 落地飘窗 装修好 环境好,24500,186,朝阳
五棵松塞纳维拉永定华庭南北3室,13500,105,海淀
大西洋新城F区+全南两居室+家具齐全+随时起租！,13000,92,朝阳
中信城二期 沁园 南北通透三居，有钥匙，头次租，中信沁园,20000,124.12,西城
商品社区、园区环境好+格局合理＋采光充足＋配套齐全＋方便看,43000,380.46,海淀
嘉润花园东南三居室 安静不临街 带电梯 采光视野好,13000,145,朝阳
里外里公寓东南两居室 安静不临街 带电梯 采光视野好,23000,155,朝阳
百旺杏林湾二区+齐全+可以长租+高楼层+位置安静,8800,137.31,海淀
茉莉园二期+有车位+电梯直达地库，平层四居室+首租+齐全,19000,184,海淀
金茂府一居室+家具齐全+北向观景+押一付三+随时可看,14500,76.7,朝阳
户型好+采光好+环境好+带车位,10000,138,丰台
嘉润高层二居 带独阳台 可居家合租 邻新世界及地铁站 已空置,9300,107,朝阳
林大对面 清华东路西口 正规一居 家具新的 东南向 交通便利,6200,50,海淀
进门时4米宽的客厅。 客厅窗和卧室窗都是落地窗，增大采光面。,35000,367.48,海淀
金茂悦北区欧式家具，户型好，三个卫生间，房源稳定感谢来电,15000,194.64,大兴
东坝 奥林匹克花园  南北通透平层三居  半空房,11000,138,朝阳
酒仙桥板块  2014年社区 东南向两居   大理石装修,15500,86,朝阳
首开常青藤 南北通透一居带露台  客厅有挑高  敞亮不压抑,6900,65.51,朝阳
高楼层，带电梯，有钥匙 集中地暖，内置齐备，随时入住；,6500,52,朝阳
南沙滩3居室 南北板楼 50米北沙滩站 不临街位置 集中供暖,8500,76.31,朝阳
保利南北4+1户型，空房出，有车位，带地暖，独梯独户,23000,145,朝阳
温馨一居，格局方正，全部家私齐全，采光视野好，装潢好，安静,5600,50,朝阳
三元桥，远洋新干线2居室，家具齐全，保养好,13500,130.29,朝阳
人文社区 安静三里屯 国贸 大2居 适合居住,23000,156,朝阳
公园1872 西向一居 一室一厅,12000,81.92,朝阳
武夷花园月亮城堡东1室,3800,58,通州
通州其它融创千章墅南北4室,25000,255,通州
四惠金地名京南西2室,14500,120,朝阳
垡头北京华侨城东南北3室,20000,199,朝阳
豆各庄富力又一城C区南西2室,5800,89.18,朝阳
北部新区保利西山林语南北3室,5500,96.27,海淀
果园京贸国际公馆南北3室,7200,92.27,通州
方庄璞瑅公馆南北4室,28000,211,丰台
东直门东方银座北1室,40000,147,东城
上下3层 客厅挑空 上叠别墅 逸翠园 南北通透 顶层带露台,35000,252,朝阳
万科如园 近百度 联想软件园 四居室前排采光好无遮挡 可观山,26000,254.53,海淀
北部新区保利西山林语南北2室,6000,89,海淀
茉莉园+位置安静+齐全+采光好+电梯入户,9500,125,海淀
梨园新通国际花园北1室,3900,51.51,通州
中粮大平层，一层一家。采光东南西北,67000,509.99,顺义
华侨城南北3居 新贴壁纸 干净整洁 12小时可看,12000,138.08,朝阳
方庄首开璞瑅南北4室,20000,179.47,丰台
马连洼圆明园花园别墅南北3室,10500,108,海淀
四惠东恒时代一期东南2室,8300,96,朝阳
天竺万通天竺新新家园南北5室,55000,390,顺义
垡头北京华侨城南北3室,13000,139.9,朝阳
中央别墅区龙湾别墅东北西南4室,45000,380,顺义
安宁庄上林溪南北3室,9200,108,海淀
